Product,LGBM RMSE,LGBM NRMSE,ARIMA RMSE,ARIMA NRMSE
FOODS_3_819,1.63,0.97,1.69,0.11
FOODS_3_090,50.40,0.34,71.73,4.64
HOBBIES_1_234,12.58,1.10,11.44,0.74
HOUSEHOLD_1_118,6.27,0.41,6.19,0.40
